country,region_name,scenario,period,stress_index,yield_loss_pct,volume_at_risk_mt,annual_mt,sourcing_pct,scenario_name,year,risk_bucket
Guatemala,Atitlán,ssp126,mid_term,0.037335098472423854,0.018667549236211927,112.00529541727157,6000,3.5,Net-Zero 2050,2050,Low Risk (<20%)
Guatemala,Atitlán,ssp245,near_term,0.031187431828468108,0.015593715914234054,93.56229548540432,6000,3.5,Delayed Transition,2030,Low Risk (<20%)
Guatemala,Atitlán,ssp245,mid_term,0.047303684810991405,0.023651842405495702,141.91105443297423,6000,3.5,Delayed Transition,2050,Low Risk (<20%)
Guatemala,Atitlán,ssp585,near_term,0.03952564206544776,0.01976282103272388,118.57692619634328,6000,3.5,Current Policies,2030,Low Risk (<20%)
Guatemala,Atitlán,ssp585,mid_term,0.05954848520620726,0.02977424260310363,178.64545561862178,6000,3.5,Current Policies,2050,Low Risk (<20%)
Ethiopia,Yirgacheffe,ssp126,near_term,0.018120303491596136,0.009060151745798068,54.36091047478841,6000,3.5,Net-Zero 2050,2030,Low Risk (<20%)
Ethiopia,Yirgacheffe,ssp126,mid_term,0.0220396983709652,0.0110198491854826,66.1190951128956,6000,3.5,Net-Zero 2050,2050,Low Risk (<20%)
Ethiopia,Yirgacheffe,ssp245,near_term,0.01796323866839521,0.008981619334197605,53.88971600518563,6000,3.5,Delayed Transition,2030,Low Risk (<20%)
Ethiopia,Yirgacheffe,ssp245,mid_term,0.015588767217937859,0.007794383608968929,46.76630165381358,6000,3.5,Delayed Transition,2050,Low Risk (<20%)
Ethiopia,Yirgacheffe,ssp585,near_term,0.01998347074980848,0.00999173537490424,59.95041224942543,6000,3.5,Current Policies,2030,Low Risk (<20%)
Ethiopia,Yirgacheffe,ssp585,mid_term,0.018180509084602822,0.009090254542301411,54.54152725380847,6000,3.5,Current Policies,2050,Low Risk (<20%)
Ethiopia,Sidamo,ssp126,near_term,0.012977237085346134,0.006488618542673067,27.901059733494186,4300,2.5,Net-Zero 2050,2030,Low Risk (<20%)
Ethiopia,Sidamo,ssp126,mid_term,0.0199718272772152,0.0099859136386076,42.93942864601268,4300,2.5,Net-Zero 2050,2050,Low Risk (<20%)
Ethiopia,Sidamo,ssp245,near_term,0.013749859762145208,0.006874929881072604,29.562198488612196,4300,2.5,Delayed Transition,2030,Low Risk (<20%)
Ethiopia,Sidamo,ssp245,mid_term,0.014588767217937858,0.007294383608968929,31.365849518566396,4300,2.5,Delayed Transition,2050,Low Risk (<20%)
Ethiopia,Sidamo,ssp585,near_term,0.013856029343558477,0.006928014671779239,29.790463088650725,4300,2.5,Current Policies,2030,Low Risk (<20%)
Ethiopia,Sidamo,ssp585,mid_term,0.017180509084602818,0.008590254542301409,36.938094531896056,4300,2.5,Current Policies,2050,Low Risk (<20%)
Ethiopia,Harrar,ssp126,near_term,0.0135432227057172,0.0067716113528586,17.606189517432362,2600,1.5,Net-Zero 2050,2030,Low Risk (<20%)
Ethiopia,Harrar,ssp126,mid_term,0.017543304661638105,0.008771652330819052,22.806296060129537,2600,1.5,Net-Zero 2050,2050,Low Risk (<20%)
Ethiopia,Harrar,ssp245,near_term,0.013331220463267528,0.006665610231633764,17.330586602247788,2600,1.5,Delayed Transition,2030,Low Risk (<20%)
Ethiopia,Harrar,ssp245,mid_term,0.018647743669687772,0.009323871834843886,24.242066770594104,2600,1.5,Delayed Transition,2050,Low Risk (<20%)
Ethiopia,Harrar,ssp585,near_term,0.012711317517096178,0.006355658758548089,16.524712772225033,2600,1.5,Current Policies,2030,Low Risk (<20%)
Ethiopia,Harrar,ssp585,mid_term,0.020132103840704074,0.010066051920352037,26.171734992915297,2600,1.5,Current Policies,2050,Low Risk (<20%)
Ethiopia,Kaffa,ssp126,near_term,0.03473773132977076,0.01736886566488538,14.937224471801427,860,0.5,Net-Zero 2050,2030,Low Risk (<20%)
Ethiopia,Kaffa,ssp126,mid_term,0.03829855375378392,0.01914927687689196,16.468378114127088,860,0.5,Net-Zero 2050,2050,Low Risk (<20%)
Ethiopia,Kaffa,ssp245,near_term,0.06467533235033039,0.032337666175165196,27.81039291064207,860,0.5,Delayed Transition,2030,Low Risk (<20%)
Ethiopia,Kaffa,ssp245,mid_term,0.11077094667372292,0.05538547333686146,47.63150706970085,860,0.5,Delayed Transition,2050,Low Risk (<20%)
Ethiopia,Kaffa,ssp585,near_term,0.07360869473954659,0.036804347369773296,31.651738738005037,860,0.5,Current Policies,2030,Low Risk (<20%)
Ethiopia,Kaffa,ssp585,mid_term,0.052960770569648555,0.026480385284824277,22.77313134494888,860,0.5,Current Policies,2050,Low Risk (<20%)
Kenya,Central Highlands,ssp126,near_term,0.0405615876307711,0.02028079381538555,103.4320484584663,5100,3.0,Net-Zero 2050,2030,Low Risk (<20%)
Kenya,Central Highlands,ssp126,mid_term,0.03965682683361229,0.019828413416806145,101.12490842571134,5100,3.0,Net-Zero 2050,2050,Low Risk (<20%)
Kenya,Central Highlands,ssp245,near_term,0.04341968931350858,0.02170984465675429,110.72020774944687,5100,3.0,Delayed Transition,2030,Low Risk (<20%)
Kenya,Central Highlands,ssp245,mid_term,0.04778398391837254,0.02389199195918627,121.84915899184998,5100,3.0,Delayed Transition,2050,Low Risk (<20%)
Kenya,Central Highlands,ssp585,near_term,0.025130447584670035,0.012565223792335017,64.0826413409086,5100,3.0,Current Policies,2030,Low Risk (<20%)
Kenya,Central Highlands,ssp585,mid_term,0.06898057910846546,0.03449028955423273,175.90047672658693,5100,3.0,Current Policies,2050,Low Risk (<20%)
Kenya,Rift Valley,ssp126,near_term,0.07495984940727553,0.037479924703637764,97.44780422945819,2600,1.5,Net-Zero 2050,2030,Low Risk (<20%)
Kenya,Rift Valley,ssp126,mid_term,0.010038375407767792,0.005019187703883896,13.04988803009813,2600,1.5,Net-Zero 2050,2050,Low Risk (<20%)
Kenya,Rift Valley,ssp245,near_term,0.03187859852270534,0.01593929926135267,41.44217807951694,2600,1.5,Delayed Transition,2030,Low Risk (<20%)
Kenya,Rift Valley,ssp245,mid_term,0.07306977535070232,0.03653488767535116,94.99070795591301,2600,1.5,Delayed Transition,2050,Low Risk (<20%)
Kenya,Rift Valley,ssp585,near_term,0.016255667662558454,0.008127833831279227,21.13236796132599,2600,1.5,Current Policies,2030,Low Risk (<20%)
Kenya,Rift Valley,ssp585,mid_term,0.050299657772605616,0.025149828886302808,65.3895551043873,2600,1.5,Current Policies,2050,Low Risk (<20%)
Costa Rica,Tarrazú,ssp126,near_term,0.14523983406089247,0.07261991703044623,501.077427510079,6900,4.0,Net-Zero 2050,2030,Low Risk (<20%)
Costa Rica,Tarrazú,ssp126,mid_term,0.13676707948185504,0.06838353974092752,471.8464242123999,6900,4.0,Net-Zero 2050,2050,Low Risk (<20%)
